,salario,escolaridade_desejada
260,8000,Superior Completo
261,8000,Superior Completo
262,4700,Superior Completo
263,2000,Superior em andamento
264,8500,Superior em andamento
265,0,Superior Completo
266,4400,Superior em andamento
267,6400,Superior em andamento
268,6400,Superior em andamento
269,8500,Superior em andamento
270,8000,Superior em andamento
271,10000,Superior Completo
272,8000,Superior Completo
273,8000,Superior Completo
274,10600,Superior Completo
275,5900,Superior Completo
276,3400,Superior Completo
277,6000,Superior Completo
278,7000,Superior Completo
279,10000,Superior Completo
280,8000,Superior Completo
281,8000,Superior Completo
282,5000,Superior Completo
283,0,Superior em andamento
284,10100,Superior Completo
285,,Superior Incompleto
286,,Superior Incompleto
287,5000,Superior Completo
288,,Superior Completo
289,,Superior Incompleto
290,,Superior Incompleto
291,,Superior Incompleto
292,,Superior Incompleto
293,,Superior Completo
294,,Superior Incompleto
295,8500,Superior Incompleto
296,8217.95,Superior Completo
297,8217.95,Superior Completo
298,10300,Superior Completo
299,10300,Superior Completo
300,1,Superior em andamento
301,5000,Superior em andamento
302,5000,Superior em andamento
303,5000,Superior em andamento
304,2200,Superior Completo
305,2200,Superior Completo
306,6443.63,Superior Completo
307,6787.96,Superior Completo
308,,Superior Incompleto
309,,Superior Incompleto
310,7000,Superior em andamento
311,6000,Superior Incompleto
312,,Superior Incompleto
313,,Superior Incompleto
314,,Superior Incompleto
315,,Superior Incompleto
316,6000,Superior Incompleto
317,6000,Superior Incompleto
318,6000,Superior Incompleto
319,6000,Superior Incompleto
320,5000,Superior Completo
321,5000,Superior Completo
322,5000,Superior Completo
323,5000,Superior Completo
324,5000,Superior Completo
325,6300,Superior Completo
326,6300,Superior Completo
327,4700,Superior Completo
328,4700,Superior Completo
329,6000,Superior Incompleto
330,6500,Superior Completo
331,0,Superior Incompleto
332,6000,Superior Incompleto
333,15000,Superior Completo
334,1500,Superior em andamento
335,11000,Superior Completo
336,3000,Superior Completo
337,3000,Superior Completo
338,6800,Superior Completo
339,8000,Superior Incompleto
340,3500,Superior Incompleto
341,6700,Superior Completo
342,10,Superior Completo
343,0.01,Superior em andamento
344,7500,Superior Completo
345,6500,Superior Completo
346,8000,Superior Completo
347,,Superior Completo
348,4000,Superior Completo
349,3000,Superior em andamento
350,8000,Superior Completo
351,8500,Superior em andamento
352,8000,Superior Completo
353,8000,Superior Completo
354,12800,Superior Completo
355,7556,Superior Completo
356,8500,Superior Completo
357,8500,Superior Completo
358,15000,Superior Completo
359,0,Superior Completo
360,6300,Superior em andamento
361,6300,Superior em andamento
362,6300,Superior em andamento
363,8000,Superior em andamento
364,8000,Superior em andamento
365,5700,Superior Incompleto
366,8000,Superior em andamento
367,5700,Superior Incompleto
368,6443.63,Superior Completo
369,7000,Superior Incompleto
370,7000,Superior Incompleto
371,7000,Superior Incompleto
372,5800,Superior Completo
373,8667.54,Superior Completo
374,0,Superior em andamento
375,4000,Superior Completo
376,6000,Superior Incompleto
377,6000,Superior Completo
378,2500,Superior Completo
379,8500,Superior Completo
380,8000,Superior Completo
381,8500,Superior Completo
382,8000,Superior Completo
383,4700,Superior em andamento
384,6700,Superior em andamento
385,6000,Superior Completo
386,10000,Superior Completo
387,3500,Superior Completo
388,5000,Superior Completo
389,,Superior Incompleto
390,8500,Superior Completo
391,11000,Superior Completo
392,3000,Superior Incompleto
393,4000,Superior Completo
394,4000,Superior Completo
395,,Superior Incompleto
396,,Superior Incompleto
397,,Superior Incompleto
398,,Superior Incompleto
399,6500,Superior Completo
400,10000,Superior Completo
401,0,Superior Completo
402,10000,Superior Completo
403,8900,Superior em andamento
404,8900,Superior em andamento
405,11000,Superior Completo
406,11000,Superior Completo
407,,Superior Incompleto
408,7000,Superior Completo
409,,Superior Incompleto
410,,Superior Incompleto
411,8500,Superior em andamento
412,5000,Superior em andamento
413,0,Superior Completo
414,0,Superior Completo
415,5500,Superior Incompleto
416,,Superior Incompleto
417,6000,Superior Completo
418,,Superior Incompleto
419,,Superior Incompleto
420,9000,Superior Completo
421,3000,Superior Completo
422,6000,Superior em andamento
423,10300,Superior Completo
424,0.01,Superior Completo
425,9000,Superior Completo
426,2750,Superior Completo
427,9000,Superior Completo
428,0.01,Superior Completo
429,0.01,Superior Completo
430,0.01,Superior Incompleto
431,9000,Superior Completo
432,9000,Superior Completo
433,9000,Superior Completo
434,4000,Superior Completo
435,0,Superior Completo
436,0.02,Superior Completo
437,,Superior Incompleto
438,,Superior Incompleto
439,,Superior Incompleto
440,,Superior Incompleto
441,0.01,Superior Completo
442,0.01,Superior Completo
443,0.01,Superior Completo
444,0.01,Superior Incompleto
445,0.01,Superior Completo
446,0.01,Superior Completo
447,0.01,Superior Completo
448,5100,Superior Completo
449,9000,Superior Completo
450,0.01,Superior Completo
451,,Superior Incompleto
452,8000,Superior em andamento
453,2600,Superior Completo
454,,Superior Completo
455,9000,Superior Completo
456,10300,Superior Completo
457,7000,Superior Completo
458,6000,Superior Incompleto
459,6000,Superior Incompleto
460,6000,Superior Incompleto
461,6000,Superior Incompleto
462,6000,Superior Incompleto
463,8000,Superior Incompleto
464,6000,Superior Incompleto
465,6000,Superior Incompleto
466,6000,Superior Incompleto
467,6000,Superior Incompleto
468,6000,Superior Incompleto
469,5500,Superior Incompleto
470,5500,Superior em andamento
471,5300,Superior Completo
472,5300,Superior Completo
473,6700,Superior Completo
474,5300,Superior Completo
475,5300,Superior Completo
476,5300,Superior Completo
477,5300,Superior Completo
478,5300,Superior Completo
479,7000,Superior Completo
480,8500,Superior Completo
481,8500,Superior Completo
482,8000,Superior Completo
483,11000,Superior Completo
484,4000,Superior Completo
485,1500,Superior Incompleto
486,1500,Superior Incompleto
487,1500,Superior Incompleto
488,1500,Superior Incompleto
489,1500,Superior Incompleto
490,1500,Superior Incompleto
491,1500,Superior Incompleto
492,1500,Superior Incompleto
493,8000,Superior Completo
494,6500,Superior Completo
495,5000,Superior Completo
496,8000,Superior Incompleto
497,0.01,Superior Completo
498,4000,Superior Incompleto
499,4000,Superior Incompleto
500,0.01,Superior Completo
501,0.01,Superior Completo
502,0.01,Superior Completo
503,0.01,Superior Completo
504,3500,Superior Completo
505,6500,Superior Completo
506,6000,Superior Completo
507,8000,Superior em andamento
508,8000,Superior em andamento
509,8000,Superior Completo
510,5500,Superior em andamento
511,7500,Superior em andamento
512,1500,Superior Incompleto
513,1500,Superior Incompleto
514,1500,Superior Incompleto
515,1500,Superior Incompleto
516,1500,Superior Incompleto
517,1500,Superior Incompleto
518,8000,Superior Completo
519,5700,Superior Completo
520,10000,Superior Completo
521,5000,Superior Completo
522,4700,Superior em andamento
523,4700,Superior em andamento
524,6700,Superior em andamento
525,6700,Superior em andamento
526,2500,Superior Incompleto
527,7500,Superior em andamento
528,7500,Superior em andamento
529,6000,Superior Incompleto
530,7400,Superior Completo
531,6000,Superior Completo
532,6000,Superior Completo
533,2260,Superior em andamento
534,4200,Superior Completo
535,2100,Superior Completo
536,6500,Superior Completo
537,6500,Superior Completo
538,4000,Superior Completo
539,4000,Superior Completo
540,4000,Superior Completo
541,8400,Superior Completo
542,3700,Superior Incompleto
543,4500,Superior Incompleto
544,4000,Superior Completo
545,4000,Superior Completo
546,8700,Superior Completo
547,4700,Superior Completo
548,,Superior Incompleto
549,1000,Superior Incompleto
550,10000,Superior Completo
551,5500,Superior em andamento
552,8500,Superior em andamento
553,5500,Superior em andamento
554,6000,Superior Incompleto
555,6500,Superior Completo
556,5000,Superior Completo
557,2260,Superior em andamento
558,3500,Superior Completo
559,2500,Superior Completo
560,2500,Superior Completo
561,8000,Superior Incompleto
562,1000,Superior Incompleto
563,5000,Superior Completo
564,6000,Superior Completo
565,10000,Superior Completo
566,11000,Superior Completo
567,2500,Superior Completo
568,7500,Superior Completo
569,0,Superior Completo
570,3500,Superior Completo
571,3500,Superior Completo
572,3500,Superior Completo
573,8500,Superior em andamento
574,5000,Superior Completo
575,8000,Superior Completo
576,3300,Superior Completo
577,6000,Superior Completo
578,3500,Superior Completo
579,2500,Superior Incompleto
580,2500,Superior Completo
581,1,Superior Completo
582,8000,Superior em andamento
583,5000,Superior Completo
584,4700,Superior em andamento
585,4500,Superior Incompleto
586,10000,Superior Completo
587,4000,Superior Completo
588,6000,Superior Completo
589,3800,Superior Completo
590,5000,Superior Completo
591,6000,Superior Completo
592,6000,Superior Completo
593,9000,Superior Completo
594,5000,Superior Completo
595,5000,Superior Completo
596,8000,Superior em andamento
597,4700,Superior Completo
598,5000,Superior Completo
599,4700,Superior Completo
600,4700,Superior Completo
601,9500,Superior Completo
602,7000,Superior Completo
603,6000,Superior Completo
604,7000,Superior em andamento
605,8000,Superior em andamento
606,4000,Superior Completo
607,4000,Superior Completo
608,4000,Superior Completo
609,6500,Superior Completo
610,5500,Superior Completo
611,7000,Superior Completo
612,7000,Superior Completo
613,11000,Superior Completo
614,0.01,Superior Incompleto
615,0.01,Superior Completo
616,0.01,Superior Completo
617,0.01,Superior Completo
618,0.01,Superior Completo
619,0.01,Superior Incompleto
620,1000,Superior em andamento
621,0.01,Superior Completo
622,0.01,Superior Completo
623,10000,Superior Completo
624,0,Superior Completo
625,10000,Superior em andamento
626,7500,Superior Completo
627,0,Superior Incompleto
628,6000,Superior Completo
629,5500,Superior Completo
630,6000,Superior Completo
631,9000,Superior Completo
632,8000,Superior Completo
633,8000,Superior Completo
634,8000,Superior Completo
635,8000,Superior Completo
636,4000,Superior Incompleto
637,,Superior Incompleto
638,7000,Superior Completo
639,3000,Superior Completo
640,6000,Superior Completo
641,3000,Superior Completo
642,15000,Superior Completo
643,7000,Superior Completo
644,7000,Superior Completo
645,8000,Superior Completo
646,1200,Superior Incompleto
647,5000,Superior Completo
648,5000,Superior Completo
649,5000,Superior Completo
650,7500,Superior Completo
651,8000,Superior Completo
652,5000,Superior Completo
653,5000,Superior Completo
654,6000,Superior Completo
655,9400,Superior Completo
656,3000,Superior Completo
657,3000,Superior Completo
658,3000,Superior Completo
659,4700,Superior Incompleto
660,4700,Superior Incompleto
661,6000,Superior Completo
662,0,Superior em andamento
663,3500,Superior Completo
664,4500,Superior Completo
665,5000,Superior Completo
666,6000,Superior Completo
667,7000,Superior em andamento
668,7000,Superior em andamento
669,5000,Superior Incompleto
670,7000,Superior Completo
671,5500,Superior Completo
672,8500,Superior Completo
673,2100,Superior Completo
674,4200,Superior Completo
675,4700,Superior Completo
676,4500,Superior Incompleto
677,11000,Superior Completo
678,6000,Superior Completo
679,3000,Superior Completo
680,10000,Superior Completo
681,7500,Superior Completo
682,1741,Superior em andamento
683,0.01,Superior Incompleto
684,5000,Superior Incompleto
685,1741,Superior Incompleto
686,1741,Superior Incompleto
687,0.01,Superior Incompleto
688,0.01,Superior Incompleto
689,4400,Superior Completo
690,0.01,Superior Completo
691,0.01,Superior Completo
692,4500,Superior Completo
693,2500,Superior Incompleto
694,2500,Superior Incompleto
695,2500,Superior Incompleto
696,2500,Superior Incompleto
697,2500,Superior Incompleto
698,2500,Superior Incompleto
699,4500,Superior Incompleto
700,4500,Superior Incompleto
701,6500,Superior Completo
702,4500,Superior Incompleto
703,4500,Superior Incompleto
704,2500,Superior Incompleto
705,0,Superior Incompleto
706,2500,Superior Incompleto
707,2500,Superior Incompleto
708,6500,Superior Incompleto
709,1741.88,Superior em andamento
710,5000,Superior Completo
711,4000,Superior Completo
712,1180,Superior Incompleto
713,6300,Superior Completo
714,1200,Superior Incompleto
715,1000,Superior em andamento
716,9000,Superior Completo
717,9000,Superior Completo
718,9000,Superior Completo
719,4000,Superior Completo
720,4000,Superior Completo
721,4000,Superior Completo
722,10000,Superior Completo
723,8000,Superior Completo
724,10000,Superior Completo
725,12000,Superior Completo
726,9500,Superior Completo
727,0,Superior Completo
728,8000,Superior Completo
729,7000,Superior Completo
730,3500,Superior Incompleto
731,9000,Superior Completo
732,4000,Superior Incompleto
733,6000,Superior Completo
734,6000,Superior Completo
735,0,Superior Completo
736,8500,Superior Completo
737,8000,Superior Completo
738,7000,Superior Completo
739,0,Superior Completo
740,7500,Superior Completo
741,8000,Superior Completo
742,7000,Superior Completo
743,6000,Superior Completo
744,6000,Superior Completo
745,6000,Superior Completo
746,6000,Superior Completo
747,5000,Superior Completo
748,,Superior Incompleto
749,,Superior Incompleto
750,1000,Superior em andamento
751,9000,Superior Completo
